,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
35,2020-08-25 01:09:20+00:00,https://twitter.com/SportsCenter/status/1298064884857438209,Jimmy Butler and the Heat sweep the Pacers 4- 0 ,SportsCenter,14295,1758,,,16053,0.0,0.0,0.7725770609520538,0.22742293904794617,0.5451541219041076
11,2020-09-01 00:39:06+00:00,https://twitter.com/BleacherReport/status/1300593994267680770,"""This is a business trip for me."" Jimmy Butler said he respects players for inviting their families but he chose not to invite anyone to the bubble ",BleacherReport,8228,910,,,9138,0.0,0.0,0.035049530094179576,0.9649504699058232,-0.9299009398116437
57,2020-08-23 20:01:56+00:00,https://twitter.com/BleacherReport/status/1297625137823481859,.@JimmyButler locked in for PSG in the Champions League final ,BleacherReport,7194,602,,,7796,0.0,1.0,0.7700984643051135,0.2299015356948847,0.5401969286102288
