,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
3,2020-09-01 21:56:57+00:00,https://twitter.com/such_hockey_wow/status/1300915575108050946,OP’s mad about one single can of soda per WEEK????? ,such_hockey_wow,1850,7,,,1857,-0.3482142857142857,0.6071428571428571,0.04562903653499023,0.954370963465008,-0.9087419269300179
21,2020-09-01 21:57:02+00:00,https://twitter.com/Lenniesaurus/status/1300915595790159873,"""healthy"" isn't one action, like drinking a soda. It's about attitudes, moderation, self respect and boundaries.",Lenniesaurus,1720,12,,,1732,0.3,0.3,0.14194714592637156,0.8580528540736264,-0.7161057081472548
9,2020-09-01 13:36:36+00:00,https://twitter.com/4ljn23/status/1300789657832165378,jaemin was the unlucky one who had to drink the weird soda but he held it in;; jeno was all (.◜◡◝) to check if he was the one and straightaway went bluekk the moment he started saying “sexyyy~” ,4ljn23,1254,468,,,1722,-0.5,1.0,0.79027944800024,0.20972055199976233,0.5805588960004776
