,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
97,2020-05-08 04:21:58+00:00,https://twitter.com/maddow/status/1258613086807785472,"""He can’t get over the fact that many, many people are dying — and they’re dying on his watch. Too many people are dying, and that’s the fact that he can’t cover up however much he tries.”",maddow,3957,1584,,5541,0.35,0.475,0.038412938583230964,0.961587061416769,-0.9231741228335381
74,2020-05-08 04:40:35+00:00,https://twitter.com/JoyceWhiteVance/status/1258617771828686848,"I’m retweeting this, not because it turned out to be right but because we need the reminder that when someone tells you who they are, you should believe them. Believe Trump, Pence, Barr, McConnell &amp; all the rest. Be ready to vote &amp; restore the rule of law. ",JoyceWhiteVance,2273,974,,3247,0.24285714285714285,0.5178571428571428,0.02671175399734451,0.973288246002654,-0.9465764920053095
29,2020-05-08 05:01:06+00:00,https://twitter.com/MSNBC/status/1258622933767000064,"Joe Biden is leading against President Trump by nine points in a general election matchup, and Biden leads among women voters, according to a Monmouth University poll. https://on.msnbc.com/3bgmrcV",MSNBC,466,144,,610,0.05000000000000002,0.5,0.8723000100430655,0.12769998995693388,0.7446000200861316
