,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
18,2020-08-31 21:47:08+00:00,https://twitter.com/hostile_bean/status/1300550718286422017,halloween animal cookies ,hostile_bean,2810,360,,,3170,0.0,0.0,0.8755917107843245,0.12440828921567444,0.75118342156865
6,2020-09-01 00:30:37+00:00,https://twitter.com/MagicJohnson/status/1300591858414809088,Cookie and I just got back from Croatia and we highly recommend it to anyone! The food was fantastic and the country is just beautiful! ,MagicJohnson,2432,107,,,2539,0.35250000000000004,0.61,0.9455515166394791,0.05444848336052298,0.8911030332789561
11,2020-08-31 23:18:45+00:00,https://twitter.com/melissablake/status/1300573771108151297,"This sweet treat arrived on my doorstep today from my equally sweet cousin and aunt. I’ve never tasted anything as delicious as these cookies, so I’m pretty sure they won’t last very long!! ",melissablake,1986,20,,,2006,0.34071428571428575,0.6822222222222221,0.466926860671571,0.5330731393284268,-0.0661462786568558
