,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
62,2020-05-08 03:04:51+00:00,https://twitter.com/ZhanGeBoDi/status/1258593679159234560,Congratulations to Xiao Zhan. He won Most Influential Actor of The Year by PowerStar Cr: http://weibointl.api.weibo.com/share/145332668.html?weibo_id=4502264583187498,ZhanGeBoDi,762,541,,,1303,0.5,0.5,0.46149396499098383,0.5385060350090128,-0.07701207001802901
78,2020-05-08 01:58:49+00:00,https://twitter.com/ZhanGeBoDi/status/1258577061461065734,Yibo and his radar. How did he know Xiao Zhan want talk to him tho ,ZhanGeBoDi,643,243,,,886,0.0,0.0,0.007353818187226901,0.9926461818127724,-0.9852923636255455
77,2020-05-08 02:02:45+00:00,https://twitter.com/Return_Of_RB/status/1258578053783060482,When’s the next Coach Uggs game ? He’s got no D . @BarstoolBigCat ?,Return_Of_RB,611,11,,,622,-0.2,0.2,0.2086723638775963,0.7913276361224011,-0.5826552722448048
