,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
84,2020-05-08 02:30:20+00:00,https://twitter.com/Billcatter/status/1258584995070906373,Punky cat #1984959383737 ,Billcatter,92,14,,,106,0.0,0.0,0.8755917107843181,0.12440828921568241,0.7511834215686357
85,2020-05-08 02:21:10+00:00,https://twitter.com/oldguynewtech/status/1258582688736272384,"Well, while just getting ready to shoot the cat, my #nokia9pureview locked on me. It wasn't from workload. I aimed and pressed the volume button and... nothing happened. The software release button circle had an X in it. WTF? Rebooted the phone and went back to locked interface.",oldguynewtech,4,0,,#nokia9pureview,4,-0.09999999999999999,0.5,0.06230164698994865,0.9376983530100557,-0.875396706020107
86,2020-05-08 02:20:45+00:00,https://twitter.com/J0HNNYVORE/status/1258582582729625604, i had to quarantine alone and my boyfriend just sent me pics of him and our cat ,J0HNNYVORE,2,1,,,3,0.0,0.0,0.09657482373564627,0.9034251762643561,-0.8068503525287098
87,2020-05-08 02:20:36+00:00,https://twitter.com/SharpedoB/status/1258582543785496577,I want to murder this cat ,SharpedoB,11,2,,,13,0.0,0.0,0.2197837089108883,0.7802162910891111,-0.5604325821782228
88,2020-05-08 02:20:26+00:00,https://twitter.com/Jassyelsokary/status/1258582501347463171,The most harmful beings are human beings and they should be held accountable for these criminals and mental patients #prison_for_the_cat_killers,Jassyelsokary,3,2,,#prison_for_the_cat_killers,5,0.13333333333333333,0.26666666666666666,0.4763455193032641,0.5236544806967365,-0.047308961393472404
89,2020-05-08 02:19:42+00:00,https://twitter.com/ibaekrauhls/status/1258582318131720192,"MV reactions of BOL4 ""나비와 고양이"" feat BAEKHYUN All of them complimented the collab (their voices & harmony) ""Is BOL4 the cat and BAEKHYUN is the owner?"" ""What a wholesome video!!"" ""The harmony between these two is so clean and I love it! It's so smooth like HONEY"" ",ibaekrauhls,166,124,,,290,0.4222222222222222,0.6,0.7634042778136607,0.23659572218633798,0.5268085556273228
90,2020-05-08 02:16:00+00:00,https://twitter.com/shuailormoon/status/1258581388552368128,that flustered smile on shua’s face after jun cradled his face with those giant cat paws i am not okay he is too soft and cute ,shuailormoon,191,69,,,260,0.13,0.5900000000000001,0.7895604629173518,0.21043953708264365,0.5791209258347082
91,2020-05-08 02:14:07+00:00,https://twitter.com/Vapornoir/status/1258580911496458240,More good cat pictures pic.twitter.com/RoJJk7pGtT,Vapornoir,2,0,,,2,0.6,0.55,0.8836859222027078,0.11631407779729047,0.7673718444054174
92,2020-05-08 02:12:52+00:00,https://twitter.com/mametown/status/1258580596361555968,My idea: laser pointers that project an image of a cat so my dog will see it down the block and hurry the fuck up on our walks. Sharks?,mametown,641,12,,,653,-0.2777777777777778,0.4444444444444444,0.2890425589029068,0.7109574410970951,-0.4219148821941883
93,2020-05-08 02:11:58+00:00,https://twitter.com/eminemchart/status/1258580371391774720,STANS! Let’s help Doja Cat and Nicki Minaj score their first #1 on the Billboard Hot 100. How? — Stream “Say So (Remix)”. Apple Music: http://apple.co/2z3sVOM; Spotify: http://spoti.fi/3b1I6pi; TIDAL: http://bit.ly/2ym2bcv; YouTube: http://youtu.be/marAFsQo3VE.,eminemchart,1316,512,,,1828,0.25,0.5916666666666667,0.9936530504362795,0.006346949563721959,0.9873061008725575
94,2020-05-08 02:07:19+00:00,https://twitter.com/Stormtuft2/status/1258579202267385857,my kitty cat is laying with me rn and i’m she never lays with me ,Stormtuft2,7,1,,,8,0.0,0.0,0.2680276975702495,0.7319723024297524,-0.4639446048595029
95,2020-05-08 02:06:24+00:00,https://twitter.com/Vindart_ME/status/1258578970024595456,"Cat got your tongue, Aiden? ",Vindart_ME,7,2,,,9,0.0,0.0,0.9339937938384819,0.06600620616151583,0.867987587676966
96,2020-05-08 01:59:18+00:00,https://twitter.com/PopBase/status/1258577182344896513,Ariana Grande promotes Doja Cat &amp; Nicki Minaj's #SaySoRMX on her Instagram story. “stream this for two of my favorite most talente ladies ! i hear doja might show us her boobies if it hits number one.” pic.twitter.com/qX7FL0qhE5,PopBase,2678,596,,#SaySoRMX,3274,0.5,0.75,0.986687387834735,0.013312612165266387,0.9733747756694686
97,2020-05-08 01:53:26+00:00,https://twitter.com/Chaotic_octo/status/1258575706117812224,i took a picture of my cat and i want all of you to look at it ,Chaotic_octo,8,2,,,10,0.0,0.0,0.31518632032749244,0.6848136796725043,-0.36962735934501184
98,2020-05-08 01:44:47+00:00,https://twitter.com/magenta_hell/status/1258573529320062976,Anyway Raymond Animal Crossing is just cat Dwight Schrute; this the THE only way to interpret Raymond as a human ,magenta_hell,6,2,,,8,0.0,0.55,0.7004245687203158,0.2995754312796797,0.40084913744063605
99,2020-05-08 01:39:49+00:00,https://twitter.com/KierstenWarren/status/1258572281086742528,"The clown footed, kitten culloted killer named Ripley got a new collar. Well, it was my bracelet made by my friend but this small cat person beat me up and took it. ",KierstenWarren,149,13,,,162,-0.05681818181818182,0.42727272727272725,0.014861234821853782,0.9851387651781442,-0.9702775303562905
