,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
1,2020-05-08 05:02:06+00:00,https://twitter.com/Calum5SOS/status/1258623187354451968,Honestly dope,Calum5SOS,2048,202,,,2250,0.6,0.9,0.8755917107843181,0.12440828921568271,0.7511834215686354
70,2020-05-07 21:48:40+00:00,https://twitter.com/VividDope/status/1258514109949030400,MoeChella was really a year ago today ,VividDope,1533,716,,,2249,0.2,0.2,0.1673265153932231,0.8326734846067767,-0.6653469692135536
15,2020-05-07 23:25:06+00:00,https://twitter.com/STEFisDOPE/status/1258538378674356225,"Folks thought Lavar was crazy & celebrated the old man’s losses, but clearly he was right all along. ",STEFisDOPE,732,342,,,1074,0.04714285714285714,0.5538095238095238,0.9154963023564955,0.08450369764350453,0.830992604712991
