,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
81,2020-08-31 03:22:56+00:00,https://twitter.com/RealSkipBayless/status/1300272834992697344,"Jamal Murray just won another shootout with Donovan Mitchell - JM 50 on 9-12 threes, DM 44 on 9-13 threes - then got emotional about his shoes with likenesses of George Floyd and Breonna Taylor and how much they motivate him. Well done, young man.",RealSkipBayless,18820,1244,,,20064,0.10000000000000002,0.4166666666666667,0.12333132607656838,0.876668673923436,-0.7533373478468676
47,2020-08-31 14:39:01+00:00,https://twitter.com/30SECVlDEOS/status/1300442978209665024,If Floyd Mayweather was a pigeon ,30SECVlDEOS,13346,2852,,,16198,0.0,0.0,0.868122965786595,0.1318770342134056,0.7362459315731894
85,2020-08-31 00:37:00+00:00,https://twitter.com/KamalaHarris/status/1300231075650699265,"As we remember the lives of George Floyd, Breonna Taylor, Ahmaud Arbery, and so many more whose lives were cut short, we must commit to reforming policing—ensuring officers face accountability and consequence for abuses of power. ",KamalaHarris,12895,2904,,,15799,0.5,0.5,0.28231966178652934,0.7176803382134677,-0.4353606764269383
